"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"C:\Users\user\AppData\Local\Temp\deference_bandit_exp0\experiment_0_bandit_base.nlogox"
"experiment-0-bandit-main-final"
"08/01/2026 08:59:56:478 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","run-seed","world-mode","peer-sharing?","[step]","actual-seed","hidden-world","ticks","expert-total-pulls","total-lay-pulls","expert-truth-mass-at-25","expert-recommendation-score-at-25","expert-informative-observations-at-25","mean-lay-truth-mass-at-25","mean-lay-recommendation-score-at-25","mean-lay-informative-observations-at-25","mean-lay-archive-size-at-25","mean-lay-posterior-truth-mass","cumulative-lay-correct-choice-rate","mean-lay-cumulative-regret","mean-lay-realized-payoff","mean-lay-b-pulls","mean-lay-informative-observations","final-window-wrong-choice-rate","finite-horizon-error-persistence-rate","run-finite-horizon-persistent-error?","expert-posterior-truth-mass","expert-recommendation-accuracy","expert-thompson-correct-rate","expert-cumulative-regret","expert-b-pull-rate","lay-a-reward-rate","lay-b-reward-rate","expert-a-reward-rate","expert-b-reward-rate","mean-peer-messages-received","mean-unique-evidence-count","duplicate-message-count","maximum-belief-identity-error","maximum-regret-identity-error","network-structure-valid?","message-accounting-valid?","evidence-provenance-valid?"
"41","310041","B-good","true","500","310041","B-good","500","125","5000","0.6905480615036318","1","82","0.6137861193387926","0.7","35.7","75","0.9999999999186656","0.931","1.7249999999999992","0.5436","465.5","1394.5","0","0","false","0.6905480615036318","1","0.656","2.1500000000000012","0.656","0.4927536231884058","0.5473684210526316","0.4186046511627907","0.524390243902439","998","1498","0","6.039613253960852E-14","2.220446049250313E-14","true","true","true"
"42","310042","B-good","true","500","310042","B-good","500","125","5000","0.6905480615036318","1","70","0.7204483722586402","0.95","43.2","75","0.9999999911561985","0.9658","0.8550000000000008","0.5404","482.9","1446.7","0","0","false","0.6905480615036318","1","0.56","2.749999999999999","0.56","0.43859649122807015","0.5440049699730793","0.5636363636363636","0.5285714285714286","998","1498","0","7.105427357601002E-14","3.552713678800501E-15","true","true","true"
"43","310043","B-good","true","500","310043","B-good","500","125","5000","0.9737137791228572","1","116","0.8269453377194255","1","45.9","75","0.9999999999938097","0.9572","1.0700000000000007","0.55","478.6","1433.8","0","0","false","0.9737137791228572","1","0.928","0.4500000000000004","0.928","0.5","0.5522356874216464","0.4444444444444444","0.5775862068965517","998","1498","0","8.526512829121202E-14","0","true","true","true"
"44","310044","B-good","true","500","310044","B-good","500","125","5000","0.3094519384963682","0","36","0.7647252684753104","1","48.6","75","0.9999999999910832","0.9746","0.6350000000000006","0.549","487.3","1459.9","0","0","false","0.3094519384963682","0","0.288","4.449999999999993","0.288","0.4330708661417323","0.5520213420890622","0.4157303370786517","0.4444444444444444","998","1498","0","8.526512829121202E-14","1.0658141036401503E-14","true","true","true"
"45","310045","B-good","true","500","310045","B-good","500","125","5000","0.9314206186232206","1","71","0.4876876617090485","0.5","35.1","75","0.9999999341227956","0.9424","1.4400000000000006","0.551","471.2","1411.6","0","0","false","0.9314206186232206","1","0.568","2.6999999999999993","0.568","0.5","0.5541171477079796","0.5370370370370371","0.5915492957746479","998","1498","0","9.237055564881302E-14","5.329070518200751E-15","true","true","true"
"46","310046","B-good","true","500","310046","B-good","500","125","5000","0.9737137791228572","1","82","0.5831850433314638","0.8","43.2","75","0.9999999999521167","0.847","3.824999999999995","0.5534","423.5","1268.5","0","0","false","0.9737137791228572","1","0.656","2.1500000000000012","0.656","0.5032679738562091","0.5624557260920897","0.3953488372093023","0.6097560975609756","998","1498","0","1.0658141036401503E-13","1.9539925233402755E-14","true","true","true"
"47","310047","B-good","true","500","310047","B-good","500","125","5000","0.9854295854981023","1","111","0.7226561900899038","0.8","40.2","75","0.9999999980355456","0.9234","1.9149999999999985","0.547","461.7","1383.1","0","0","false","0.9854295854981023","1","0.888","0.7000000000000006","0.888","0.48825065274151436","0.5518735109378384","0.35714285714285715","0.5945945945945946","998","1498","0","9.947598300641403E-14","1.1546319456101628E-14","true","true","true"
"48","310048","B-good","true","500","310048","B-good","500","125","5000","0.353883495145631","0","31","0.6158572918751687","0.6","38.7","75","0.9999980218797715","0.8854","2.864999999999996","0.5392","442.7","1326.1","0.002","0","false","0.353883495145631","0","0.248","4.699999999999992","0.248","0.4851657940663176","0.5461938107070251","0.46808510638297873","0.45161290322580644","998","1498","0","6.394884621840902E-14","1.5987211554602254E-14","true","true","true"
"49","310049","B-good","true","500","310049","B-good","500","125","5000","0.5990099009900991","1","64","0.4845052834823281","0.4","32.7","75","0.9999992655999129","0.8856","2.8599999999999968","0.5512","442.8","1326.4","0","0","false","0.5990099009900991","1","0.512","3.049999999999998","0.512","0.5314685314685315","0.5537488708220416","0.39344262295081966","0.515625","998","1498","0","7.815970093361102E-14","2.220446049250313E-14","true","true","true"
"50","310050","B-good","true","500","310050","B-good","500","125","5000","0.55","1","69","0.6380107654224705","0.8","43.8","75","0.9999999257966445","0.9156","2.11","0.5426","457.8","1371.4","0","0","false","0.55","1","0.552","2.799999999999999","0.552","0.5308056872037915","0.5436871996505024","0.48214285714285715","0.5072463768115942","998","1498","0","8.526512829121202E-14","1.7763568394002505E-14","true","true","true"
