"world","policy","ticks","correct_choice_rate","correct_ci_low","correct_ci_high","b_share","truth_mass","post_regret","n_runs"
"B-bad","E-Preemption",155,0.866,0.848621854191002,0.883378145808998,0.134,0.870264424397975,1.361775,200
"B-bad","E-Preemption",160,0.874,0.856139766752411,0.891860233247589,0.126,0.872012124965608,1.39465,200
"B-bad","E-Preemption",165,0.868,0.84973788257996,0.88626211742004,0.132,0.874857443442508,1.427225,200
"B-bad","E-Preemption",170,0.882,0.865053788671448,0.898946211328552,0.118,0.876149387152426,1.457925,200
"B-bad","E-Preemption",175,0.8745,0.85737037894208,0.89162962105792,0.1255,0.879234144957034,1.4879,200
"B-bad","E-Preemption",180,0.887,0.869028245276568,0.904971754723432,0.113,0.885582621329252,1.517775,200
"B-bad","E-Preemption",185,0.875,0.857004629294339,0.892995370705661,0.125,0.88543043234908,1.546025,200
"B-bad","E-Preemption",190,0.888,0.872431198314268,0.903568801685732,0.112,0.888627195739716,1.573375,200
"B-bad","E-Preemption",195,0.9,0.884158320986403,0.915841679013597,0.1,0.89008913495322,1.600175,200
"B-bad","E-Preemption",200,0.884,0.866128961358932,0.901871038641068,0.116,0.891996163510951,1.6278,200
"B-bad","E-Preemption",205,0.8965,0.880880597621763,0.912119402378237,0.1035,0.896248178152357,1.654725,200
"B-bad","E-Preemption",210,0.904,0.887687626178312,0.920312373821688,0.096,0.898015698397113,1.68015,200
"B-bad","E-Preemption",215,0.8955,0.878637295828966,0.912362704171034,0.1045,0.898391183679358,1.706625,200
"B-bad","E-Preemption",220,0.8985,0.881915488790431,0.915084511209568,0.1015,0.89963678256346,1.73145,200
"B-bad","E-Preemption",225,0.899,0.883528840512767,0.914471159487233,0.101,0.902578154052901,1.756225,200
"B-bad","E-Preemption",230,0.9045,0.88864020480846,0.92035979519154,0.0955,0.905169067214899,1.7805,200
"B-bad","E-Preemption",235,0.904,0.889175605056963,0.918824394943037,0.096,0.906366284478495,1.803375,200
"B-bad","E-Preemption",240,0.921,0.907204229327717,0.934795770672283,0.079,0.908426854620422,1.82565,200
"B-bad","E-Preemption",245,0.8975,0.881938794856193,0.913061205143807,0.1025,0.910231747048983,1.849125,200
"B-bad","E-Preemption",250,0.9105,0.895003437956247,0.925996562043753,0.0895,0.911607101828067,1.871625,200
"B-bad","E-Preemption",255,0.9195,0.904750181569979,0.934249818430021,0.0805,0.915200162695523,1.893725,200
"B-bad","E-Preemption",260,0.9165,0.902621394144133,0.930378605855867,0.0835,0.916366932794779,1.91455,200
"B-bad","E-Preemption",265,0.9185,0.90405567743813,0.93294432256187,0.0815,0.916198158531167,1.93575,200
"B-bad","E-Preemption",270,0.925,0.911691393950722,0.938308606049278,0.075,0.918599256654168,1.95565,200
"B-bad","E-Preemption",275,0.921,0.905805830528468,0.936194169471532,0.079,0.9202931579485,1.9759,200
"B-bad","E-Preemption",280,0.9245,0.911728218998521,0.937271781001479,0.0755,0.921840913720594,1.99485,200
"B-bad","E-Preemption",285,0.92,0.907265873019726,0.932734126980274,0.08,0.924214239932022,2.014275,200
"B-bad","E-Preemption",290,0.9285,0.913969066024131,0.943030933975869,0.0715,0.925873436067106,2.03295,200
